patients_per_clinic_block,num_med_techs,num_rooms,num_rooms_per_provider,num_physicians,vitals_time_mean,vitals_time_cv2,exam_time_mean,exam_time_cv2,post_exam_time_mean,post_exam_time_cv2,room_turnover_time_mean,room_turnover_time_cv2,off_util_staff,off_util_physician,off_util_room,staff_eff_ia_time_mean,staff_eff_svc_time_mean,staff_eff_svc_time_cv2,exam_eff_ia_time_mean,exam_eff_svc_time_mean,exam_eff_svc_time_cv2,mean_wait_i_dm1,mean_wait_p_dm1,mean_wait_r_dm1,mean_wait_rp_dm1,mean_wait_i,mean_wait_r,mean_wait_p,mean_wait_rp,mean_time_in_system,mean_eod
40,2,2,1,2,6,0.2,15,1.0,5,0.5,2.5,0.14285714285714285,1.125,1.25,1.875,12.0,13.5,0.3867185757126474,12.0,101.26628281964913,1.6663737124435194,33.329651446328484,45.43663137332065,407.46858192976026,452.9052133030809,1.3504783304633328,96.91563944722836,0.0,96.91563944722836,125.42832166271904,453.8643633819706
16,2,2,1,2,6,0.2,20,1.0,5,0.5,2.5,0.14285714285714285,0.45,0.6666666666666666,0.9166666666666666,30.0,13.5,0.3867185757126474,30.0,39.14666896400267,2.1190566885373507,2.1838040094425177,9.462864954560157,8.783906243403518,18.246771197963675,0.4070502810415252,6.236479523276397,0.0,6.236479523276397,36.100362358884986,257.8943628604015
20,2,2,1,2,6,0.2,20,1.0,5,0.5,2.5,0.14285714285714285,0.5625,0.8333333333333334,1.1458333333333333,24.0,13.5,0.3867185757126474,24.0,49.11758216798077,2.3850701865740556,4.304788373788158,17.31279379419262,32.101770870897994,49.41456466509061,0.5725459953168596,17.675546853206793,0.0,17.675546853206793,49.25662610144048,296.13751667608284
24,2,2,1,2,6,0.2,20,1.0,5,0.5,2.5,0.14285714285714285,0.675,1.0,1.375,20.0,13.5,0.3867185757126474,20.0,62.856243891527654,2.739156799694433,7.412617355561313,27.94362653596635,86.99632854083457,114.93995507680091,0.6523286457187144,39.6508079035061,0.0,39.6508079035061,72.13570322922526,345.5806407873981
28,2,2,1,2,6,0.2,20,1.0,5,0.5,2.5,0.14285714285714285,0.7875,1.1666666666666667,1.6041666666666667,17.142857142857142,13.5,0.3867185757126474,17.142857142857142,80.42482740401007,3.30250193916844,11.739019742706434,41.185807661303635,178.81706247400226,220.0028701353059,0.6508542321830526,59.7703216677948,0.0,59.7703216677948,91.9156318864607,390.45614876933513
32,2,2,1,2,6,0.2,20,1.0,5,0.5,2.5,0.14285714285714285,0.9,1.3333333333333333,1.8333333333333333,15.0,13.5,0.3867185757126474,15.0,101.55369415205143,3.7343460750253388,17.472756775305577,56.58093737674586,307.12055776722866,363.7014951439745,0.7630261402449635,88.39785731422873,0.0,88.39785731422873,121.02203893379075,444.1189577831637
32,2,2,1,2,9,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.1,0.6666666666666666,1.1666666666666667,15.0,16.5,0.4144844803065741,15.0,56.584148897626896,1.1628396588074867,33.40577013782637,5.678378759800523,120.33426968528532,126.01264844508584,2.871929672738568,29.82387949702898,0.0,29.82387949702898,58.95995861446382,310.4448834789287
36,2,2,1,2,9,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.2375,0.75,1.3125,13.333333333333334,16.5,0.4144844803065741,13.333333333333334,71.05915926419402,1.1107463193242146,45.293121317020656,8.266037947173363,214.65073616129385,222.91677410846722,4.606090360699242,52.10612288226493,0.0,52.10612288226493,83.82239687087005,359.1184701115369
40,2,2,1,2,9,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.375,0.8333333333333334,1.4583333333333333,12.0,16.5,0.4144844803065741,12.0,87.71101810467269,1.0455707113594421,58.57967509461487,11.631343010057819,336.6782709959399,348.30961400599773,7.030697918323408,84.55781920725727,0.0,84.55781920725727,119.8554069277715,420.8337673547346
44,2,2,1,2,9,0.2,10,1.0,5,0.5,2.5,0.14285714285714285,1.5125,0.9166666666666666,1.6041666666666667,10.909090909090908,16.5,0.4144844803065741,10.909090909090908,106.27080311611304,0.9836494541509099,72.89499941342245,15.875803702690591,486.9875427655999,502.8633464682905,10.430595495442834,114.87586928859044,0.0,114.87586928859044,154.03230677267243,467.8004317929452
